filepath,sample_id,system_id,mos,dataset,ref_dnsmos_ovrl,ref_nisqa_mos,ref_utmos,mos_pred
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000011.flac,urgent25_blind_test_fileid_000011,urgent25_blind_test_submission_716,1.875,urgent2025_sqa_pilot,1.676396369934082,0.8279587626457214,1.2783806324005127,1.0010759830474854
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000012.flac,urgent25_blind_test_fileid_000012,urgent25_blind_test_submission_716,2.875,urgent2025_sqa_pilot,2.6325836181640625,2.6312296390533447,1.966264247894287,2.926412343978882
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000013.flac,urgent25_blind_test_fileid_000013,urgent25_blind_test_submission_716,1.0,urgent2025_sqa_pilot,1.1160115003585815,0.9237180948257446,1.3999650478363037,0.7111863493919373
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000014.flac,urgent25_blind_test_fileid_000014,urgent25_blind_test_submission_716,1.0,urgent2025_sqa_pilot,1.2297861576080322,0.8487574458122253,1.3124334812164309,1.1442211866378784
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000015.flac,urgent25_blind_test_fileid_000015,urgent25_blind_test_submission_716,2.0,urgent2025_sqa_pilot,1.2802003622055054,1.0300601720809937,1.2259963750839231,0.9787546992301941
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000016.flac,urgent25_blind_test_fileid_000016,urgent25_blind_test_submission_716,1.25,urgent2025_sqa_pilot,1.6865766048431396,0.9356255531311036,1.2446070909500122,1.6435779333114624
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000017.flac,urgent25_blind_test_fileid_000017,urgent25_blind_test_submission_716,1.5,urgent2025_sqa_pilot,1.6300287246704102,1.1485272645950315,1.2463475465774536,1.451217770576477
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000018.flac,urgent25_blind_test_fileid_000018,urgent25_blind_test_submission_716,1.375,urgent2025_sqa_pilot,1.2715153694152832,1.0063824653625488,1.3042223453521729,1.0503283739089966
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000019.flac,urgent25_blind_test_fileid_000019,urgent25_blind_test_submission_716,1.125,urgent2025_sqa_pilot,1.1022871732711792,0.9877672791481018,1.4091813564300537,0.7978507876396179
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000020.flac,urgent25_blind_test_fileid_000020,urgent25_blind_test_submission_716,1.25,urgent2025_sqa_pilot,1.9832727909088133,1.190279841423035,1.342060685157776,0.8346124291419983
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000021.flac,urgent25_blind_test_fileid_000021,urgent25_blind_test_submission_716,1.625,urgent2025_sqa_pilot,1.85791015625,1.1098382472991943,1.2522385120391846,1.010525107383728
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000022.flac,urgent25_blind_test_fileid_000022,urgent25_blind_test_submission_716,1.625,urgent2025_sqa_pilot,2.4688055515289307,1.862561106681824,1.3030818700790403,1.163558840751648
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000023.flac,urgent25_blind_test_fileid_000023,urgent25_blind_test_submission_716,1.25,urgent2025_sqa_pilot,1.6233104467391968,1.310930609703064,1.3018710613250732,0.9530195593833923
C:\Users\rffela\OneDrive - GN Store Nord\Documents\Jabra\2026\Development\2027 ICASSP\data\URGENT2025_SQA_pilot\audio\urgent25_blind_test_fileid_000024.flac,urgent25_blind_test_fileid_000024,urgent25_blind_test_submission_716,1.125,urgent2025_sqa_pilot,1.8101565837860107,0.9054649472236632,1.2591513395309448,1.2185767889022827
