filepath,condition,mos,dataset,split
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00053_chp_0013_reader_05953_12_seg_live_phone_604.wav,VoIP-landline to mobile,1.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00053_chp_0013_reader_05953_12_seg_live_skype_5.wav,Skype,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00053_chp_0013_reader_05953_12_seg_live_skype_604.wav,Skype,1.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00081_chp_0018_reader_01595_26_seg_live_phone_606.wav,VoIP-landline to mobile,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00081_chp_0018_reader_01595_26_seg_live_phone_7.wav,VoIP-landline to mobile,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00081_chp_0018_reader_01595_26_seg_live_skype_606.wav,Skype,2.875,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00081_chp_0018_reader_01595_26_seg_live_skype_7.wav,Skype,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00084_chp_0006_reader_04891_15_seg_live_phone_607.wav,VoIP-landline to mobile,1.25,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00084_chp_0006_reader_04891_15_seg_live_phone_8.wav,VoIP-landline to mobile,1.77777777777778,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00084_chp_0006_reader_04891_15_seg_live_skype_607.wav,Skype,1.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00084_chp_0006_reader_04891_15_seg_live_skype_8.wav,Skype,1.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00084_chp_0006_reader_04891_43_seg_live_phone_608.wav,VoIP-landline to mobile,1.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00084_chp_0006_reader_04891_43_seg_live_phone_9.wav,VoIP-landline to mobile,1.75,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00084_chp_0006_reader_04891_43_seg_live_skype_608.wav,Skype,1.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00084_chp_0006_reader_04891_43_seg_live_skype_9.wav,Skype,1.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00128_chp_0064_reader_00927_19_seg_live_phone_11.wav,VoIP-landline to mobile,1.7,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00128_chp_0064_reader_00927_19_seg_live_phone_610.wav,VoIP-landline to mobile,1.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00128_chp_0064_reader_00927_19_seg_live_skype_11.wav,Skype,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00128_chp_0064_reader_00927_19_seg_live_skype_610.wav,Skype,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00162_chp_0028_reader_08756_4_seg_live_phone_12.wav,VoIP-landline to mobile,2.85714285714286,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00162_chp_0028_reader_08756_4_seg_live_phone_611.wav,VoIP-landline to mobile,1.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00162_chp_0028_reader_08756_4_seg_live_skype_12.wav,Skype,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00162_chp_0028_reader_08756_4_seg_live_skype_611.wav,Skype,1.5,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00164_chp_0011_reader_07639_3_seg_live_phone_13.wav,VoIP-landline to mobile,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00164_chp_0011_reader_07639_3_seg_live_phone_612.wav,VoIP-landline to mobile,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00164_chp_0011_reader_07639_3_seg_live_skype_13.wav,Skype,3.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00164_chp_0011_reader_07639_3_seg_live_skype_612.wav,Skype,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00166_chp_0026_reader_01339_0_seg_live_phone_14.wav,VoIP-landline to mobile,1.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00166_chp_0026_reader_01339_0_seg_live_phone_613.wav,VoIP-landline to mobile,1.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00166_chp_0026_reader_01339_0_seg_live_skype_14.wav,Skype,1.5,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00166_chp_0026_reader_01339_0_seg_live_skype_613.wav,Skype,1.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00167_chp_0022_reader_10001_5_seg_live_phone_15.wav,VoIP-landline to mobile,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00167_chp_0022_reader_10001_5_seg_live_phone_614.wav,VoIP-landline to mobile,1.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00167_chp_0022_reader_10001_5_seg_live_skype_15.wav,Skype,1.42857142857143,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00167_chp_0022_reader_10001_5_seg_live_skype_614.wav,Skype,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00194_chp_0064_reader_09510_2_seg_live_phone_16.wav,VoIP-landline to mobile,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00194_chp_0064_reader_09510_2_seg_live_phone_615.wav,VoIP-landline to mobile,1.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00194_chp_0064_reader_09510_2_seg_live_skype_16.wav,Skype,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00194_chp_0064_reader_09510_2_seg_live_skype_615.wav,Skype,1.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00194_chp_0071_reader_00639_3_seg_live_phone_17.wav,VoIP-landline to mobile,3.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00194_chp_0071_reader_00639_3_seg_live_phone_616.wav,VoIP-landline to mobile,1.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00194_chp_0071_reader_00639_3_seg_live_skype_17.wav,Skype,3.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00194_chp_0071_reader_00639_3_seg_live_skype_616.wav,Skype,1.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00199_chp_0010_reader_05540_1_seg_live_phone_18.wav,VoIP-landline to mobile,1.25,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00199_chp_0010_reader_05540_1_seg_live_phone_617.wav,VoIP-landline to mobile,1.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00199_chp_0010_reader_05540_1_seg_live_skype_18.wav,Skype,1.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00199_chp_0010_reader_05540_1_seg_live_skype_617.wav,Skype,1.22222222222222,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00255_chp_0010_reader_04471_3_seg_live_phone_19.wav,VoIP-landline to mobile,1.5,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00255_chp_0010_reader_04471_3_seg_live_phone_618.wav,VoIP-landline to mobile,1.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00255_chp_0010_reader_04471_3_seg_live_skype_19.wav,Skype,1.625,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00255_chp_0010_reader_04471_3_seg_live_skype_618.wav,Skype,1.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00326_chp_0021_reader_01025_17_seg_live_phone_20.wav,VoIP-landline to mobile,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00326_chp_0021_reader_01025_17_seg_live_phone_619.wav,VoIP-landline to mobile,1.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00326_chp_0021_reader_01025_17_seg_live_skype_20.wav,Skype,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00326_chp_0021_reader_01025_17_seg_live_skype_619.wav,Skype,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00334_chp_0004_reader_01098_4_seg_live_phone_21.wav,VoIP-landline to mobile,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00334_chp_0004_reader_01098_4_seg_live_phone_620.wav,VoIP-landline to mobile,1.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00334_chp_0004_reader_01098_4_seg_live_skype_21.wav,Skype,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00334_chp_0004_reader_01098_4_seg_live_skype_620.wav,Skype,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00344_chp_0001_reader_06220_1_seg_live_phone_22.wav,VoIP-landline to mobile,3.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00344_chp_0001_reader_06220_1_seg_live_phone_621.wav,VoIP-landline to mobile,1.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00344_chp_0001_reader_06220_1_seg_live_skype_22.wav,Skype,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00344_chp_0001_reader_06220_1_seg_live_skype_621.wav,Skype,1.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00346_chp_0034_reader_06353_8_seg_live_phone_23.wav,VoIP-landline to mobile,3.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00346_chp_0034_reader_06353_8_seg_live_skype_23.wav,Skype,3.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00346_chp_0034_reader_06353_8_seg_live_skype_622.wav,Skype,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00352_chp_0045_reader_07465_28_seg_live_phone_24.wav,VoIP-landline to mobile,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00352_chp_0045_reader_07465_28_seg_live_skype_24.wav,Skype,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00352_chp_0045_reader_07465_28_seg_live_skype_623.wav,Skype,1.55555555555556,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00375_chp_0004_reader_01282_50_seg_live_phone_25.wav,VoIP-landline to mobile,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00375_chp_0004_reader_01282_50_seg_live_skype_25.wav,Skype,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00375_chp_0004_reader_01282_50_seg_live_skype_624.wav,Skype,3.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00375_chp_0017_reader_05076_31_seg_live_phone_26.wav,VoIP-landline to mobile,3.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00375_chp_0017_reader_05076_31_seg_live_skype_26.wav,Skype,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00375_chp_0017_reader_05076_31_seg_live_skype_625.wav,Skype,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00384_chp_0022_reader_07500_2_seg_live_phone_27.wav,VoIP-landline to mobile,3.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00384_chp_0022_reader_07500_2_seg_live_skype_27.wav,Skype,3.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00384_chp_0022_reader_07500_2_seg_live_skype_626.wav,Skype,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00396_chp_0024_reader_11416_4_seg_live_phone_29.wav,VoIP-landline to mobile,2.55555555555556,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00396_chp_0024_reader_11416_4_seg_live_skype_29.wav,Skype,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00396_chp_0024_reader_11416_4_seg_live_skype_628.wav,Skype,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00412_chp_0002_reader_10589_3_seg_live_phone_30.wav,VoIP-landline to mobile,3.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00412_chp_0002_reader_10589_3_seg_live_skype_30.wav,Skype,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00412_chp_0002_reader_10589_3_seg_live_skype_629.wav,Skype,1.75,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00423_chp_0005_reader_10531_42_seg_live_phone_31.wav,VoIP-landline to mobile,1.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00423_chp_0005_reader_10531_42_seg_live_skype_31.wav,Skype,1.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00423_chp_0005_reader_10531_42_seg_live_skype_630.wav,Skype,1.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00436_chp_0003_reader_07728_17_seg_live_phone_32.wav,VoIP-landline to mobile,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00436_chp_0003_reader_07728_17_seg_live_skype_32.wav,Skype,2.1111111111111103,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00436_chp_0003_reader_07728_17_seg_live_skype_631.wav,Skype,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00441_chp_0028_reader_06407_13_seg_live_phone_33.wav,VoIP-landline to mobile,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00441_chp_0028_reader_06407_13_seg_live_skype_33.wav,Skype,3.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00441_chp_0028_reader_06407_13_seg_live_skype_632.wav,Skype,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00472_chp_0009_reader_11450_15_seg_live_phone_34.wav,VoIP-landline to mobile,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00472_chp_0009_reader_11450_15_seg_live_skype_34.wav,Skype,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00472_chp_0009_reader_11450_15_seg_live_skype_633.wav,Skype,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00488_chp_0003_reader_11581_16_seg_live_phone_36.wav,VoIP-landline to mobile,3.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00488_chp_0003_reader_11581_16_seg_live_skype_36.wav,Skype,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00488_chp_0003_reader_11581_16_seg_live_skype_635.wav,Skype,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00518_chp_0034_reader_08347_3_seg_live_phone_37.wav,VoIP-landline to mobile,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00518_chp_0034_reader_08347_3_seg_live_skype_37.wav,Skype,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00518_chp_0034_reader_08347_3_seg_live_skype_636.wav,Skype,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00550_chp_0011_reader_10068_2_seg_live_phone_38.wav,VoIP-landline to mobile,3.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00550_chp_0011_reader_10068_2_seg_live_skype_38.wav,Skype,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00550_chp_0011_reader_10068_2_seg_live_skype_637.wav,Skype,3.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00564_chp_0015_reader_11458_37_seg_live_phone_39.wav,VoIP-landline to mobile,3.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00564_chp_0015_reader_11458_37_seg_live_skype_39.wav,Skype,3.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00564_chp_0015_reader_11458_37_seg_live_skype_638.wav,Skype,3.28571428571429,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00583_chp_0019_reader_04346_5_seg_live_phone_41.wav,VoIP-landline to mobile,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00583_chp_0019_reader_04346_5_seg_live_skype_41.wav,Skype,1.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00590_chp_0017_reader_05720_9_seg_live_phone_42.wav,VoIP-landline to mobile,3.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00590_chp_0017_reader_05720_9_seg_live_skype_42.wav,Skype,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00590_chp_0017_reader_05720_9_seg_live_skype_641.wav,Skype,1.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00599_chp_0043_reader_03063_9_seg_live_phone_43.wav,VoIP-landline to mobile,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00599_chp_0043_reader_03063_9_seg_live_skype_43.wav,Skype,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00611_chp_0004_reader_03573_3_seg_live_phone_44.wav,VoIP-landline to mobile,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00611_chp_0004_reader_03573_3_seg_live_skype_44.wav,Skype,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00622_chp_0007_reader_10606_1_seg_live_phone_45.wav,VoIP-landline to mobile,3.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00622_chp_0007_reader_10606_1_seg_live_skype_45.wav,Skype,2.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00630_chp_0001_reader_08593_31_seg_live_phone_47.wav,VoIP-landline to mobile,2.875,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00630_chp_0001_reader_08593_31_seg_live_skype_47.wav,Skype,2.6666666666666696,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00648_chp_0004_reader_11560_27_seg_live_phone_48.wav,VoIP-landline to mobile,2.25,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00648_chp_0004_reader_11560_27_seg_live_skype_48.wav,Skype,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00701_chp_0012_reader_02603_39_seg_live_phone_50.wav,VoIP-landline to mobile,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00701_chp_0012_reader_02603_39_seg_live_skype_50.wav,Skype,3.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00702_chp_0022_reader_09751_11_seg_live_phone_51.wav,VoIP-landline to mobile,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00702_chp_0022_reader_09751_11_seg_live_skype_51.wav,Skype,2.4,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00728_chp_0001_reader_04364_14_seg_live_phone_52.wav,VoIP-landline to mobile,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00728_chp_0001_reader_04364_14_seg_live_skype_52.wav,Skype,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00735_chp_0002_reader_01798_3_seg_live_phone_53.wav,VoIP-landline to mobile,2.8,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00735_chp_0002_reader_01798_3_seg_live_skype_53.wav,Skype,2.6,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00789_chp_0002_reader_09579_27_seg_live_phone_54.wav,VoIP-landline to mobile,1.85714285714286,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00789_chp_0002_reader_09579_27_seg_live_skype_54.wav,Skype,2.0,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00798_chp_0020_reader_09807_7_seg_live_phone_55.wav,VoIP-landline to mobile,3.2,nisqa_train_live,calibration
..\..\data\NISQA_Corpus\NISQA_TRAIN_LIVE\deg\book_00798_chp_0020_reader_09807_7_seg_live_skype_55.wav,Skype,2.2,nisqa_train_live,calibration
