filepath,condition,mos,dataset,split
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00049_book_03978_chp_0021_reader_02669_33_seg.wav,simulated,3.75,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00050_4_1015_2_7_001-ch6-speaker_seg72.wav,simulated,3.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00051_som_05223_00933920619_seg.wav,simulated,2.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00052_4_771_2_7_001-ch6-speaker_seg68.wav,simulated,3.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00053_3_263_2_7_001-ch6-speaker_seg2.wav,simulated,4.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00054_4_389_2_7_001-ch6-speaker_seg48.wav,simulated,3.75,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00055_2_1309_2_7_001-ch6-speaker_seg54.wav,simulated,4.625,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00056_som_08421_01917199583_seg.wav,simulated,3.625,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00057_book_02769_chp_0026_reader_00611_9_seg.wav,simulated,3.75,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00058_book_02939_chp_0000_reader_08101_28_seg.wav,simulated,3.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00059_wem_08421_00436655759_seg.wav,simulated,3.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00060_4_510_2_7_001-ch6-speaker_seg107.wav,simulated,3.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00061_book_07534_chp_0031_reader_11307_2_seg.wav,simulated,3.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00062_book_07113_chp_0002_reader_06368_13_seg.wav,simulated,3.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00063_book_07941_chp_0005_reader_01632_1_seg.wav,simulated,4.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00064_som_09334_00219413113_seg.wav,simulated,4.33333333333333,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00065_book_08305_chp_0010_reader_05700_3_seg.wav,simulated,3.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00066_book_06804_chp_0006_reader_09548_5_seg.wav,simulated,3.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00067_book_08537_chp_0016_reader_05203_33_seg.wav,simulated,3.75,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00068_4_863_2_7_001-ch6-speaker_seg13.wav,simulated,4.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00069_1_1166_2_7_001-ch6-speaker_seg9.wav,simulated,5.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00070_book_07113_chp_0006_reader_07725_0_seg.wav,simulated,4.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00071_tsp_2_MG_03.wav,simulated,4.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00072_book_01279_chp_0009_reader_03013_26_seg.wav,simulated,4.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00073_1_837_2_7_001-ch6-speaker_seg82.wav,simulated,4.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00074_tsp_2_FF_17.wav,simulated,4.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00075_book_10324_chp_0010_reader_06575_2_seg.wav,simulated,4.5,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00076_1_239_2_7_001B-ch6-speaker_seg7.wav,simulated,4.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00077_tsp_2_FF_12.wav,simulated,4.77777777777778,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00078_1_965_2_7_001-ch6-speaker_seg64.wav,simulated,4.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00079_2_113_2_7_001-ch6-speaker_seg37.wav,simulated,3.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00080_1_871_2_7_001-ch6-speaker_seg1.wav,simulated,4.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00081_4_887_2_7_001-ch6-speaker_seg38.wav,simulated,3.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00082_tsp_2_MA_28.wav,simulated,4.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00083_som_01523_01064273416_seg.wav,simulated,5.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00084_book_03136_chp_0008_reader_10008_11_seg.wav,simulated,5.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00085_1_1111_2_7_001-ch6-speaker_seg51.wav,simulated,4.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00086_book_01745_chp_0012_reader_01327_5_seg.wav,simulated,4.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00087_4_1157_2_7_001-ch6-speaker_seg96.wav,simulated,4.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00088_som_04310_00936585356_seg.wav,simulated,3.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00089_book_01989_chp_0006_reader_08694_13_seg.wav,simulated,3.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00090_2_344_2_7_001-ch6-speaker_seg70.wav,simulated,3.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00091_2_793_2_7_001-ch6-speaker_seg4.wav,simulated,4.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00092_book_09185_chp_0084_reader_00830_0_seg.wav,simulated,4.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00093_4_1277_2_7_001-ch6-speaker_seg88.wav,simulated,2.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00094_1_1026_2_7_001-ch6-speaker_seg30.wav,simulated,3.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00095_3_719_2_7_001-ch6-speaker_seg87.wav,simulated,2.75,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00096_2_22_2_7_001-ch6-speaker_seg6.wav,simulated,3.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00097_book_00691_chp_0004_reader_07356_50_seg.wav,simulated,4.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00098_3_377_2_7_001-ch6-speaker_seg103.wav,simulated,2.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00099_book_06339_chp_0010_reader_08990_22_seg.wav,simulated,4.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00100_book_06460_chp_0006_reader_06462_5_seg.wav,simulated,3.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00101_book_00375_chp_0009_reader_07651_46_seg.wav,simulated,2.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00102_1_1065_2_7_001-ch6-speaker_seg12.wav,simulated,2.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00103_3_850_2_7_001-ch6-speaker_seg39.wav,simulated,2.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00104_2_619_2_7_001-ch6-speaker_seg42.wav,simulated,2.375,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00105_book_06197_chp_0006_reader_00662_35_seg.wav,simulated,1.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00106_book_00171_chp_0010_reader_05715_23_seg.wav,simulated,2.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00107_book_02526_chp_0035_reader_04857_12_seg.wav,simulated,2.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00108_4_95_2_7_001-ch6-speaker_seg29.wav,simulated,2.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00109_4_237_2_7_001-ch6-speaker_seg42.wav,simulated,3.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00110_4_658_2_7_001-ch6-speaker_seg16.wav,simulated,1.6666666666666698,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00111_book_06028_chp_0025_reader_05355_8_seg.wav,simulated,2.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00112_book_09781_chp_0011_reader_08489_24_seg.wav,simulated,1.875,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00113_3_643_2_7_001-ch6-speaker_seg69.wav,simulated,1.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00114_irm_04310_01280819423_seg.wav,simulated,1.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00115_tsp_2_FJ_22.wav,simulated,1.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00116_book_08001_chp_0011_reader_00635_32_seg.wav,simulated,2.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00117_book_10235_chp_0025_reader_01459_1_seg.wav,simulated,1.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00118_book_06909_chp_0010_reader_01355_26_seg.wav,simulated,1.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00119_2_820_2_7_001-ch6-speaker_seg84.wav,simulated,2.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00120_3_1212_2_7_001-ch6-speaker_seg24.wav,simulated,1.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00121_3_405_2_7_001-ch6-speaker_seg44.wav,simulated,1.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00122_scm_05223_01499075530_seg.wav,simulated,1.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00123_2_764_2_7_001-ch6-speaker_seg37.wav,simulated,1.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00124_2_450_2_7_001-ch6-speaker_seg1.wav,simulated,1.25,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00125_wem_12484_01324355777_seg.wav,simulated,1.33333333333333,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00126_1_785_2_7_001-ch6-speaker_seg64.wav,simulated,4.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00127_book_08120_chp_0008_reader_10627_1_seg.wav,simulated,4.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00128_sof_04415_01134663582_seg.wav,simulated,5.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00129_book_09074_chp_0014_reader_01289_67_seg.wav,simulated,4.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00130_1_837_2_7_001-ch6-speaker_seg4.wav,simulated,3.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00131_2_94_2_7_001-ch6-speaker_seg21.wav,simulated,3.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00132_scf_07049_01500755907_seg.wav,simulated,3.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00133_book_07970_chp_0002_reader_11151_19_seg.wav,simulated,2.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00134_book_10184_chp_0002_reader_05275_0_seg.wav,simulated,2.75,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00135_3_995_2_7_001B-ch6-speaker_seg8.wav,simulated,2.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00136_book_02578_chp_0013_reader_11713_2_seg.wav,simulated,2.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00137_book_02559_chp_0016_reader_07567_31_seg.wav,simulated,2.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00138_3_463_2_7_001-ch6-speaker_seg68.wav,simulated,2.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00139_scm_02484_01160566436_seg.wav,simulated,2.625,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00140_book_06284_chp_0006_reader_08742_29_seg.wav,simulated,3.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00141_1_595_2_7_001-ch6-speaker_seg74.wav,simulated,1.33333333333333,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00142_nof_03397_01548735377_seg.wav,simulated,2.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00143_book_04825_chp_0006_reader_06270_4_seg.wav,simulated,2.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00144_2_170_2_7_001-ch6-speaker_seg99.wav,simulated,2.75,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00145_2_985_2_7_001-ch6-speaker_seg113.wav,simulated,2.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00146_2_985_2_7_001-ch6-speaker_seg27.wav,simulated,2.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00147_book_02285_chp_0002_reader_08871_16_seg.wav,simulated,2.25,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00148_book_07848_chp_0019_reader_01505_55_seg.wav,simulated,2.5,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00149_book_03172_chp_0028_reader_02258_15_seg.wav,simulated,1.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00150_2_467_2_7_001-ch6-speaker_seg64.wav,simulated,1.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00151_2_688_2_7_001-ch6-speaker_seg100.wav,simulated,1.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00152_book_01004_chp_0143_reader_02695_12_seg.wav,simulated,1.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00153_book_04754_chp_0008_reader_10666_2_seg.wav,simulated,1.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00154_tsp_2_FH_01.wav,simulated,1.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00155_book_03044_chp_0014_reader_06381_0_seg.wav,simulated,1.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00156_4_1277_2_7_001-ch6-speaker_seg16.wav,simulated,1.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00157_book_10078_chp_0018_reader_06345_2_seg.wav,simulated,1.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00158_book_10787_chp_0061_reader_06716_8_seg.wav,simulated,1.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00159_3_1077_2_7_001-ch6-speaker_seg40.wav,simulated,1.4,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00160_book_08035_chp_0017_reader_06890_20_seg.wav,simulated,1.8,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00161_tsp_2_FF_14.wav,simulated,1.5,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00162_book_08456_chp_0016_reader_01540_28_seg.wav,simulated,1.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00163_som_02436_00881349402_seg.wav,simulated,1.75,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00164_book_06696_chp_0001_reader_03335_11_seg.wav,simulated,2.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00165_4_934_2_7_001-ch6-speaker_seg69.wav,simulated,2.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00166_4_421_2_7_001-ch6-speaker_seg32.wav,simulated,2.2,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00167_2_117_2_7_001-ch6-speaker_seg34.wav,simulated,2.5,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00168_book_04648_chp_0018_reader_07989_18_seg.wav,simulated,2.6,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00169_book_05320_chp_0012_reader_00569_21_seg.wav,simulated,2.0,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00170_4_609_2_7_001B-ch6-speaker_seg5.wav,simulated,1.7142857142857095,nisqa_train_sim,train
..\..\data\NISQA_Corpus\NISQA_TRAIN_SIM\deg\c00171_sof_09334_00874253394_seg.wav,simulated,2.4,nisqa_train_sim,train
